client,facility,system,id,name,units,type,alias,description,Notes,device,category,source,target,function calls
Oxy,Constitution,EPRMS,M32,Mooring Tension 2,kips,measured,,Mooring Tension in kips,,Mooring,Distance,M50,P12,
Oxy,Constitution,EPRMS,M33,Mooring Tension 3,kips,measured,,Mooring Tension in kips,,Mooring,Distance,M51,P12,
Oxy,Constitution,EPRMS,M34,Mooring Tension 4,kips,measured,,Mooring Tension in kips,,Mooring,Distance,M52,P12,
Oxy,Constitution,EPRMS,M35,Mooring Tension 5,kips,measured,,Mooring Tension in kips,,Mooring,Distance,M53,P12,
Oxy,Constitution,EPRMS,M36,Mooring Tension 6,kips,measured,,Mooring Tension in kips,,Mooring,Distance,M54,P12,
Oxy,Constitution,EPRMS,M37,Mooring Tension 7,kips,measured,,Mooring Tension in kips,,Mooring,Distance,M55,P12,
Oxy,Constitution,EPRMS,M38,Mooring Tension 8,kips,measured,,Mooring Tension in kips,,Mooring,Distance,M56,P12,
Oxy,Constitution,EPRMS,M39,Mooring Tension 9,kips,measured,,Mooring Tension in kips,,Mooring,Distance,M57,P12,
Oxy,Constitution,EPRMS,M40,Mooring Payout 1,ft,measured,,Mooring Payout in ft,,Mooring,Distance,M58,P12,
Oxy,Constitution,EPRMS,M41,Mooring Payout 2,ft,measured,,Mooring Payout in ft,,Mooring,Distance,M59,P12,
Oxy,Constitution,EPRMS,M42,Mooring Payout 3,ft,measured,,Mooring Payout in ft,,Mooring,Distance,M60,P12,
Oxy,Constitution,EPRMS,M43,Mooring Payout 4,ft,measured,,Mooring Payout in ft,,Mooring,Distance,M61,P12,
Oxy,Constitution,EPRMS,M44,Mooring Payout 5,ft,measured,,Mooring Payout in ft,,Mooring,Distance,M62,P12,
Oxy,Constitution,EPRMS,M45,Mooring Payout 6,ft,measured,,Mooring Payout in ft,,Mooring,Distance,M63,P12,
Oxy,Constitution,EPRMS,M46,Mooring Payout 7,ft,measured,,Mooring Payout in ft,,Mooring,Distance,M64,P12,
Oxy,Constitution,EPRMS,M47,Mooring Payout 8,ft,measured,,Mooring Payout in ft,,Mooring,Distance,M65,P12,
Oxy,Constitution,EPRMS,M48,Mooring Payout 9,ft,measured,,Mooring Payout in ft,,Mooring,Distance,M66,P12,
Oxy,Constitution,EPRMS,M49,Riser A LC 1 Load,kips,measured,,Riser load cell load readings,Riser load cell readings in kips,RISER,Distance,C1,P3,
Oxy,Constitution,EPRMS,M50,Riser A LC 2 Load,kips,measured,,Riser load cell load readings,Riser load cell readings in kips,RISER,Distance,C2,P3,
Oxy,Constitution,EPRMS,M51,Riser A LC 3 Load,kips,measured,,Riser load cell load readings,Riser load cell readings in kips,RISER,Distance,C3,P3,
Oxy,Constitution,EPRMS,M52,Riser B LC 1 Load,kips,measured,,Riser load cell load readings,Riser load cell readings in kips,RISER,Distance,C4,P3,
Oxy,Constitution,EPRMS,M53,Riser B LC 2 Load,kips,measured,,Riser load cell load readings,Riser load cell readings in kips,RISER,Distance,C5,P3,
Oxy,Constitution,EPRMS,M54,Riser B LC 3 Load,kips,measured,,Riser load cell load readings,Riser load cell readings in kips,RISER,Distance,C6,P3,
Oxy,Constitution,EPRMS,M55,Riser C LC 1 Load,kips,measured,,Riser load cell load readings,Riser load cell readings in kips,RISER,Distance,C7,P3,
Oxy,Constitution,EPRMS,M56,Riser C LC 2 Load,kips,measured,,Riser load cell load readings,Riser load cell readings in kips,RISER,Distance,C8,P3,
Oxy,Constitution,EPRMS,M57,Riser C LC 3 Load,kips,measured,,Riser load cell load readings,Riser load cell readings in kips,RISER,Distance,C9,P3,
Oxy,Constitution,EPRMS,M58,Riser D LC 1 Load,kips,measured,,Riser load cell load readings,Riser load cell readings in kips,RISER,Distance,C10,P3,
Oxy,Constitution,EPRMS,M59,Riser D LC 2 Load,kips,measured,,Riser load cell load readings,Riser load cell readings in kips,RISER,Distance,C11,P3,
Oxy,Constitution,EPRMS,M60,Riser D LC 3 Load,kips,measured,,Riser load cell load readings,Riser load cell readings in kips,RISER,Distance,C12,P3,
Oxy,Constitution,EPRMS,M61,Riser E LC 1 Load,kips,measured,,Riser load cell load readings,Riser load cell readings in kips,RISER,Distance,C13,P3,
Oxy,Constitution,EPRMS,M62,Riser E LC 2 Load,kips,measured,,Riser load cell load readings,Riser load cell readings in kips,RISER,Distance,C14,P3,
Oxy,Constitution,EPRMS,M63,Riser E LC 3 Load,kips,measured,,Riser load cell load readings,Riser load cell readings in kips,RISER,Distance,C15,P3,
Oxy,Constitution,EPRMS,M64,Riser F LC 1 Load,kips,measured,,Riser load cell load readings,Riser load cell readings in kips,RISER,Distance,C16,P3,
Oxy,Constitution,EPRMS,M65,Riser F LC 2 Load,kips,measured,,Riser load cell load readings,Riser load cell readings in kips,RISER,Distance,C17,P3,
Oxy,Constitution,EPRMS,M66,Riser F LC 3 Load,kips,measured,,Riser load cell load readings,Riser load cell readings in kips,RISER,Distance,C18,P3,
Oxy,Constitution,EPRMS,D1,Platform Draft,ft,derived,Platform Draft,Vertical distance from the MWL to the lowest point of platform,,Derived,Distance,C19,P3,
Oxy,Constitution,EPRMS,D2,Ballast Tank 3NVB Level,%,derived,,Water level in the North Vertical Ballast tanks in Ballast-3 compartment,,Derived,Distance,C20,P3,
Oxy,Constitution,EPRMS,D3,Ballast Tank 3WVB Level,%,derived,,Water level in the East Vertical Ballast tanks in Ballast-3 compartment,West,Derived,Distance,C21,P3,
Oxy,Constitution,EPRMS,D4,Ballast Tank 3SVB Level,%,derived,,Water level in the South Vertical Ballast tanks in Ballast-3 compartment,,Derived,Distance,C22,P3,
Oxy,Constitution,EPRMS,D5,Ballast Tank 3EVB Level,%,derived,,Water level in the West Vertical Ballast tanks in Ballast-3 compartment,East,Derived,Distance,C23,P3,
Oxy,Constitution,EPRMS,D6,Void Tank Switches 1,bits,derived,,Status indicator leak detection switch in void tank,,Derived,Distance,C24,P3,
Oxy,Constitution,EPRMS,D7,Void Tank Switches 2,bits,derived,,Status indicator leak detection switch in void tank,,Derived,Distance,C25,P3,
Oxy,Constitution,EPRMS,D8,Void Tank Switches 3,bits,derived,,Status indicator leak detection switch in void tank,,Derived,Distance,C26,P3,
Oxy,Constitution,EPRMS,D9,6DOF Surge Acc COR,ft/s^2,derived,,Measured surge accelerations corrected for temperature using the algorithm from the manufacturer,,Derived,Distance,C27,P3,
Oxy,Constitution,EPRMS,D10,6DOF Sway Acc COR,ft/s^2,derived,,Measured sway accelerations corrected for temperature using the algorithm from the manufacturer,,Derived,Distance,C28,P3,
Oxy,Constitution,EPRMS,D11,6DOF Heave Acc COR,ft/s^2,derived,,Measured heave accelerations corrected for temperature using the algorithm from the manufacturer,,Derived,Distance,C29,P3,
Oxy,Constitution,EPRMS,D12,Spar Roll(PE),deg,derived,,Remove mean from the measured roll rate; integrate using trapezoidal rule,,Derived,Direction,C30,P3,
Oxy,Constitution,EPRMS,D13,Spar Pitch(PN),deg,derived,,Remove mean from the measured pitch rate; integrate using trapezoidal rule,,Derived,Direction,C31,P3,
Oxy,Constitution,EPRMS,D14,RMS Spar Roll,deg,derived,,RMS value of pitch motion of spar,Roll,Derived,Direction,C32,P3,
Oxy,Constitution,EPRMS,D15,RMS Spar Pitch,deg,derived,,RMS value of roll motion of spar,Pitch,Derived,Direction,C33,P3,
Oxy,Constitution,EPRMS,D16,Static Spar List(PE),deg,derived,,"List angle of spar, measured in the Port–Starboard (East-West) plane",,Derived,Direction,C34,P3,
Oxy,Constitution,EPRMS,D17,Static Spar Trim(PN),deg,derived,,"Trim angle of spar, measured in the Bow–Stern (North-South) plane",,Derived,Direction,C35,P3,
Oxy,Constitution,EPRMS,D18,Spar Tilt,deg,derived,,Total magnitude of the spar platform’s tilt from vertical,,Derived,Direction,C36,P3,
Oxy,Constitution,EPRMS,D19,Spar Tilt Direction,degT,derived,,"Direction toward which the spar is tilting, relative to true north",,Derived,Direction,C37,P3,
Oxy,Constitution,EPRMS,D20,RMS Deck Acceleration,ft/s^2,derived,,RMS value of acceleration measured on the deck of the platform,,Derived,Distance,C38,P3,
Oxy,Constitution,EPRMS,D21,Spar GPS  Latitude,deg,derived,,"Calculated Latitude using DegMin, DecMin and DecMin2 as measured at GPS",This one should be at the antenna location,Derived,Direction,C39,P3,
Oxy,Constitution,EPRMS,D22,Spar GPS  Longitude,deg,derived,,"Calculated Longitude using DegMin, DecMin and DecMin2 as measured at GPS",This one should be at the antenna location,Derived,Direction,C40,P3,
Oxy,Constitution,EPRMS,D23,Spar Northings,ft,derived,," Northings at the GPS antenna location, measured from platform reference position",This is at center of the platform,Derived,Distance,C41,P3,
Oxy,Constitution,EPRMS,D24,Spar Eastings,ft,derived,," Eastings at the GPS antenna location, measured from platform reference position",This is at center of the platform,Derived,Distance,C42,P3,
Oxy,Constitution,EPRMS,D25,UTM Spar Northings,ft,derived,,Vertical distance from equator,,Derived,Distance,C43,P3,
Oxy,Constitution,EPRMS,D26,UTM Spar Eastings,ft,derived,,Horizontal distance from central meridian of a UTM zone,,Derived,Distance,C44,P3,
Oxy,Constitution,EPRMS,D27,Avg  Spar Northings,ft,derived,,15 minute running average of Spar Northings,,Derived,Distance,C45,P5,
Oxy,Constitution,EPRMS,D28,Avg  Spar Eastings,ft,derived,,15 minute running average of Spar Eastings,,Derived,Distance,C46,P5,
Oxy,Constitution,EPRMS,D29,Spar Offset,ft,derived,,horizontal distance between the spar’s current position and its platform position,,Derived,Distance,C47,P5,
Oxy,Constitution,EPRMS,D30,Spar Offset Direction,deg,derived,,"Direction that the spar is offset toward, relative to true north",,Derived,Direction,C48,P5,
Oxy,Constitution,EPRMS,D31,Avg  Spar Offset,ft,derived,,running average of Spar Offset,This is probably 20 min running avg,Derived,Distance,C49,P5,
Oxy,Constitution,EPRMS,D32,Avg Offset Direction,deg,derived,,running average of Spar Offset Direction,This is probably 20 min running avg,Derived,Direction,C50,P5,
Oxy,Constitution,EPRMS,D33,FB True Wind Direction,degT,derived,FB Wind Dir,True Wind direction FROM measured clockwise relateive to True North at the wind sensor mounted on flareboom,,Derived,Direction,C51,P5,
Oxy,Constitution,EPRMS,D34,FB North Wind Speed,knots,derived,FB North Wind Spd,"Wind speed component along True North direction, measured in knots at the wind sensor mounted on flareboom",,Derived,Distance,C52,P11,
Oxy,Constitution,EPRMS,D35,FB East Wind Speed,knots,derived,FB East Wind Spd,"Wind speed component along True East direction, measured in knots at the wind sensor mounted on flareboom",,Derived,Distance,C53,P11,
Oxy,Constitution,EPRMS,D36,Crane True Wind Dir,degT,derived,Crane Wind Dir,True Wind direction FROM measured clockwise relateive to True North at the wind sensor mounted on the crane,,Derived,Direction,C54,P5,
Oxy,Constitution,EPRMS,D37,Crane North Wind Speed,knots,derived,Crane North Wind Spd,"Wind speed component along True North direction, measured in knots at the wind sensor mounted on crane",,Derived,Distance,C55,P6,
Oxy,Constitution,EPRMS,D38,Crane East Wind Speed,knots,derived,Crane East Wind Spd,"Wind speed component along True East direction, measured in knots at the wind sensor mounted on crane",,Derived,Distance,C56,P7,
Oxy,Constitution,EPRMS,D39,Avg FB True Wind Dir,degT,derived,FB 20min Wind Dir,20 minute running average of FB Wind Dir,,Derived,Direction,C57,P7,
Oxy,Constitution,EPRMS,D40,Avg FB Wind Speed,knots,derived,FB 20min Wind Spd,20 minute running average of FB Wind Speed,,Derived,Distance,C58,P7,
Oxy,Constitution,EPRMS,D41,Avg Crane True Wind Dir,degT,derived,Crane 20min Wind Dir,20 minute running average of Crane Wind Dir,,Derived,Direction,C59,P9,
Oxy,Constitution,EPRMS,D42,Avg Crane Wind Speed,knots,derived,Crane 20min Wind Spd,20 minute running average of Crane Wind Speed,,Derived,Distance,C60,P9,
Oxy,Constitution,EPRMS,D43,Best True Wind Dir,degT,derived,Best Wind Dir,"Wind Direction FROM, in deg clockwise relative to True North, corresponding to the highest wind speed from the available quality controlled wind speed measurements",,Derived,Direction,C61,P9,
Oxy,Constitution,EPRMS,D44,Best Wind speed,knots,derived,Best Wind Spd,"Highest wind speed of all available quality controlled wind speed measurements, taken at correspoding measured elevations only",,Derived,Distance,C62,P9,
Oxy,Constitution,EPRMS,D45,Avg Best True Wind Dir,degT,derived,Best 20min Wind Dir,20 minute running average of Best Wind Dir,,Derived,Direction,C63,P3,
Oxy,Constitution,EPRMS,D46,Avg Best Wind speed,knots,derived,Best 20min Wind Spd,20 minute running average of Best Wind Speed,,Derived,Distance,C64,P9,
Oxy,Constitution,EPRMS,D47,NE Airgap OL,ft,derived,NE Airgap,Quality controlled distance of the Northeast Airgap sensor to the instantaneous water surface,,Derived,Distance,C65,P9,
Oxy,Constitution,EPRMS,D48,SW Airgap OL,ft,derived,SW Airgap,Quality controlled distance of the Southwest Airgap sensor to the instantaneous water surface,,Derived,Distance,C66,P9,
Oxy,Constitution,EPRMS,D49,NE Sg Wave  Ht,ft,derived,NE Sig Wave Ht,20 minute running average of NE Airgap measurement,Four times the standard deviation of the surface elevation obtained from a rolling 20min record of the quality controlled NE Airgap sensor reading,Derived,Distance,C67,P9,
Oxy,Constitution,EPRMS,D50,NE Wave Period,sec,derived,NE Wave Period Tz,20 minute running average of wave energy peak period,Zero crossing period  of the surface elevation obtained from rolling 20min record of the quality controlled NE Airgap sensor reading,Derived,Distance,C68,P9,
Oxy,Constitution,EPRMS,D51,SW Sg Wave  Ht,ft,derived,SW Sig Wave  Ht,20 minute running average of SW Airgap measurement,Four times the standard deviation of the surface elevation obtained from a rolling 20min record of the quality controlled SW Airgap sensor reading,Derived,Distance,C69,P9,
Oxy,Constitution,EPRMS,D52,SW Wave Period,sec,derived,SW Wave Period Tz,20 minute running average of wave energy peak period,Zero crossing period  obtained from rolling 20min record of the quality controlled SW Airgap sensor reading,Derived,Distance,C70,P3,
Oxy,Constitution,EPRMS,D53,Best Sg Wave  Ht,ft,derived,Best Sig Wave Ht,20 minute running average of Best Airgap measurement,Maximum of the significant wave height calculated from all available quality controlled air gap readings,Derived,Distance,C71,P3,
Oxy,Constitution,EPRMS,D54,Best Wave Period,sec,derived,Best Wave Period Tz,20 minute running average of best wave energy peak period,Zero crossing period corresponding to best significant wave height,Derived,Distance,C72,P5,
Oxy,Constitution,EPRMS,D55,FB Wind Speed OL,knots,derived,,Quality controlled FB Wind Speed,Outliers removed,Derived,Distance,C73,P8,
Oxy,Constitution,EPRMS,D56,Crane Wind Speed OL,knots,derived,,Quality controlled Crane Wind Speed,Outliers removed,Derived,Distance,C74,P10,
Oxy,Constitution,EPRMS,D57,Void Tank 4NVO-1,boolean,derived,,Tank status in North Void tank,,Derived,Distance,C75,P9,
Oxy,Constitution,EPRMS,D58,Void Tank 4NVO-2,boolean,derived,,Tank status in North Void tank,,Derived,Distance,C76,P9,
Oxy,Constitution,EPRMS,D59,Void Tank 4WVO-1,boolean,derived,,Tank status in West Void tank,,Derived,Distance,P1,D1,
Oxy,Constitution,EPRMS,D60,Void Tank 4WVO-2,boolean,derived,,Tank status in West Void tank,,Derived,Distance,P2,D2,
Oxy,Constitution,EPRMS,D61,Void Tank 4SVO-1,boolean,derived,,Tank status in South Void tank,,Derived,Distance,P2,D3,
Oxy,Constitution,EPRMS,D62,Void Tank 4SVO-2,boolean,derived,,Tank status in South Void tank,,Derived,Distance,P2,D4,
Oxy,Constitution,EPRMS,D63,Void Tank 4EVO-1,boolean,derived,,Tank status in East Void tank,,Derived,Distance,P2,D5,
Oxy,Constitution,EPRMS,D64,Void Tank 4EVO-2,boolean,derived,,Tank status in East Void tank,,Derived,Distance,P2,D6,
Oxy,Constitution,EPRMS,D65,Void Tank 5NVO-1,boolean,derived,,Tank status in North Void tank,,Derived,Distance,P2,D7,
Oxy,Constitution,EPRMS,D66,Void Tank 5NVO-2,boolean,derived,,Tank status in North Void tank,,Derived,Distance,P2,D8,
Oxy,Constitution,EPRMS,D67,Void Tank 5WVO-1,boolean,derived,,Tank status in West Void tank,,Derived,Distance,P3,D9,
Oxy,Constitution,EPRMS,D68,Void Tank 5WVO-2,boolean,derived,,Tank status in West Void tank,,Derived,Distance,P3,D10,
Oxy,Constitution,EPRMS,D69,Void Tank 5SVO-1,boolean,derived,,Tank status in South Void tank,,Derived,Distance,P3,D11,
Oxy,Constitution,EPRMS,D70,Void Tank 5SVO-2,boolean,derived,,Tank status in South Void tank,,Derived,Distance,P3,D12,
Oxy,Constitution,EPRMS,D71,Void Tank 5EVO-1,boolean,derived,,Tank status in East Void tank,,Derived,Distance,P3,D13,
Oxy,Constitution,EPRMS,D72,Void Tank 5EVO-2,boolean,derived,,Tank status in East Void tank,,Derived,Distance,P3,D14,
Oxy,Constitution,EPRMS,D73,Void Tank 6NVO-1,boolean,derived,,Tank status in North Void tank,,Derived,Distance,P3,D15,
Oxy,Constitution,EPRMS,D74,Void Tank 6NVO-2,boolean,derived,,Tank status in North Void tank,,Derived,Distance,P3,D16,
Oxy,Constitution,EPRMS,D75,Void Tank 6NCO-1,boolean,derived,,Tank status in North Void tank,,Derived,Distance,P3,D17,
Oxy,Constitution,EPRMS,D76,Void Tank 6NCO-2,boolean,derived,,Tank status in North Void tank,,Derived,Distance,P3,D18,
Oxy,Constitution,EPRMS,D77,Void Tank 6WVO-1,boolean,derived,,Tank status in West Void tank,,Derived,Distance,P3,D19,
Oxy,Constitution,EPRMS,D78,Void Tank 6WVO-2,boolean,derived,,Tank status in West Void tank,,Derived,Distance,P3,D20,
Oxy,Constitution,EPRMS,D79,Void Tank 6WCO-1,boolean,derived,,Tank status in West Void tank,,Derived,Distance,P4,D21,
Oxy,Constitution,EPRMS,D80,Void Tank 6WCO-2,boolean,derived,,Tank status in West Void tank,,Derived,Distance,P4,D22,
Oxy,Constitution,EPRMS,D81,Void Tank 6BWVO-1,boolean,derived,,Tank status in West Void tank,,Derived,Distance,P4,D23,
Oxy,Constitution,EPRMS,D82,Void Tank 6BWVO-2,boolean,derived,,Tank status in West Void tank,,Derived,Distance,P4,D24,
Oxy,Constitution,EPRMS,D83,Void Tank 6SVO-1,boolean,derived,,Tank status in South Void tank,,Derived,Distance,P5,D25,
Oxy,Constitution,EPRMS,D84,Void Tank 6SVO-2,boolean,derived,,Tank status in South Void tank,,Derived,Distance,P5,D26,
Oxy,Constitution,EPRMS,D85,Void Tank 6SCO-1,boolean,derived,,Tank status in South Void tank,,Derived,Distance,P5,D27,
Oxy,Constitution,EPRMS,D86,Void Tank 6SCO-2,boolean,derived,,Tank status in South Void tank,,Derived,Distance,P5,D28,
Oxy,Constitution,EPRMS,D87,Void Tank 6EVO-1,boolean,derived,,Tank status in East Void tank,,Derived,Distance,P4,D29,
Oxy,Constitution,EPRMS,D88,Void Tank 6EVO-2,boolean,derived,,Tank status in East Void tank,,Derived,Distance,P5,D30,
Oxy,Constitution,EPRMS,D89,Void Tank 6ECO-1,boolean,derived,,Tank status in East Void tank,,Derived,Distance,P5,D31,
Oxy,Constitution,EPRMS,D90,Void Tank 6ECO-2,boolean,derived,,Tank status in East Void tank,,Derived,Distance,P5,D32,
Oxy,Constitution,EPRMS,D91,Riser A LC 1 Diff,kips,derived,,Differential pressure values from sensor,,Derived,Distance,P6,D33,
Oxy,Constitution,EPRMS,D92,Riser A LC 2 Diff,kips,derived,,Differential pressure values from sensor,,Derived,Distance,P6,D34,
Oxy,Constitution,EPRMS,D93,Riser A LC 3 Diff,kips,derived,,Differential pressure values from sensor,,Derived,Distance,P6,D35,
Oxy,Constitution,EPRMS,D94,Riser A Bend Abt X-Axis,kip-ft,derived,,Bending angle of Riser around the X-axis,,Derived,Distance,P7,D36,
Oxy,Constitution,EPRMS,D95,Riser A Bend Abt Y-Axis,kip-ft,derived,,Bending angle of Riser around the Y-axis,,Derived,Distance,P7,D37,
Oxy,Constitution,EPRMS,D96,Riser A Tension,kips,derived,,Total tension measured in Riser,,Derived,Distance,P7,D38,
Oxy,Constitution,EPRMS,D97,Riser B LC 1 Diff,kips,derived,,Differential pressure values from sensor,,Derived,Distance,P6,D39,
Oxy,Constitution,EPRMS,D98,Riser B LC 2 Diff,kips,derived,,Differential pressure values from sensor,,Derived,Distance,P6,D40,
Oxy,Constitution,EPRMS,D99,Riser B LC 3 Diff,kips,derived,,Differential pressure values from sensor,,Derived,Distance,P7,D41,
Oxy,Constitution,EPRMS,D100,Riser B Bend Abt X-Axis,kip-ft,derived,,Bending angle of Riser around the X-axis,,Derived,Distance,P7,D42,
Oxy,Constitution,EPRMS,D101,Riser B Bend Abt Y-Axis,kip-ft,derived,,Bending angle of Riser around the Y-axis,,Derived,Distance,P8,D43,
Oxy,Constitution,EPRMS,D102,Riser B Tension,kips,derived,,Total tension measured in Riser,,Derived,Distance,P8,D44,
Oxy,Constitution,EPRMS,D103,Riser C LC 1 Diff,kips,derived,,Differential pressure values from sensor,,Derived,Distance,P8,D45,
Oxy,Constitution,EPRMS,D104,Riser C LC 2 Diff,kips,derived,,Differential pressure values from sensor,,Derived,Distance,P8,D46,
Oxy,Constitution,EPRMS,D105,Riser C LC 3 Diff,kips,derived,,Differential pressure values from sensor,,Derived,Distance,P9,D47,
Oxy,Constitution,EPRMS,D106,Riser C Bend Abt X-Axis,kip-ft,derived,,Bending angle of Riser around the X-axis,,Derived,Distance,P9,D48,
Oxy,Constitution,EPRMS,D107,Riser C Bend Abt Y-Axis,kip-ft,derived,,Bending angle of Riser around the Y-axis,,Derived,Distance,P9,D49,
Oxy,Constitution,EPRMS,D108,Riser C Tension,kips,derived,,Total tension measured in Riser,,Derived,Distance,P9,D50,
Oxy,Constitution,EPRMS,D109,Riser D LC 1 Diff,kips,derived,,Differential pressure values from sensor,,Derived,Distance,P9,D51,
Oxy,Constitution,EPRMS,D110,Riser D LC 2 Diff,kips,derived,,Differential pressure values from sensor,,Derived,Distance,P9,D52,
Oxy,Constitution,EPRMS,D111,Riser D LC 3 Diff,kips,derived,,Differential pressure values from sensor,,Derived,Distance,P10,D53,
Oxy,Constitution,EPRMS,D112,Riser D Bend Abt X-Axis,kip-ft,derived,,Bending angle of Riser around the X-axis,,Derived,Distance,P10,D54,
Oxy,Constitution,EPRMS,D113,Riser D Bend Abt Y-Axis,kip-ft,derived,,Bending angle of Riser around the Y-axis,,Derived,Distance,P6,D55,
Oxy,Constitution,EPRMS,D114,Riser D Tension,kips,derived,,Total tension measured in Riser,,Derived,Distance,P7,D56,
